Day,Session,BehavType,ImagingFile,BehavFile,Alignment,ROI,TC,Neuropil,dff,Deconvolution,nFrames_oneplane,datapath,suite2ppath,h5path,sbxpath,behavpath,roiFile,tcFile
9,1,Behavior,cd037_009_001,cd037_9v1.txt,0,0,0,0,0,0,29384 29384,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
9,2,Behavior,cd037_009_003,cd037_9v2.txt,0,0,0,0,0,0,14521 14521,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
9,3,Behavior,cd037_009_004,cd037_9v3.txt,0,0,0,0,0,0,13786 13786,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
9,4,Baseline,cd037_009_005,,0,0,0,0,0,0,5000 4999,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
10,1,Behavior,cd037_010_000,cd037_10v1.txt,0,0,0,0,0,0,15714 15714,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
10,2,Behavior,cd037_010_001,cd037_10v2.txt,0,0,0,0,0,0,3486 3485,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
10,3,Behavior,cd037_010_002,cd037_10v3.txt,0,0,0,0,0,0,14241 14241,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
10,4,Behavior,cd037_010_003,cd037_10v4.txt,0,0,0,0,0,0,12490 12490,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
10,5,Baseline,cd037_010_004,,0,0,0,0,0,0,5000 4999,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
11,1,Behavior,cd037_011_000,cd037_11v1.txt,0,0,0,0,0,0,13479 13478,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
